"IDitin","IDesp","Any","Date","Nindiv","longitud","LAT","LNG"
"1","piepra","2011","21/3/2011",19,4296,42.2191481799,3.09380865436
"1","piepra","2006","7/6/2006",73,4296,42.2191481799,3.09380865436
"1","piepra","1997","17/3/1997",6,4296,42.2191481799,3.09380865436
"1","piepra","2005","2/6/2005",16,4296,42.2191481799,3.09380865436
"1","piepra","2011","31/3/2011",17,4296,42.2191481799,3.09380865436
"1","piepra","1998","17/3/1998",4,4296,42.2191481799,3.09380865436
"1","piepra","1998","3/3/1998",4,4296,42.2191481799,3.09380865436
"1","piepra","2015","3/6/2015",42,4296,42.2191481799,3.09380865436
"1","piepra","2019","5/8/2019",10,4296,42.2191481799,3.09380865436
"1","piepra","1999","2/8/1999",31,4296,42.2191481799,3.09380865436
"1","piepra","2005","5/4/2005",5,4296,42.2191481799,3.09380865436
"1","piepra","2005","9/6/2005",14,4296,42.2191481799,3.09380865436
"1","piepra","2005","10/5/2005",4,4296,42.2191481799,3.09380865436
"1","piepra","2020","28/5/2020",96,4296,42.2191481799,3.09380865436
"1","piepra","1993","17/6/1993",26,4296,42.2191481799,3.09380865436
"1","piepra","2009","11/6/2009",47,4296,42.2191481799,3.09380865436
"1","piepra","1997","8/5/1997",9,4296,42.2191481799,3.09380865436
"1","piepra","2004","9/8/2004",35,4296,42.2191481799,3.09380865436
"1","piepra","2020","12/6/2020",60,4296,42.2191481799,3.09380865436
"1","piepra","2007","12/9/2007",5,4296,42.2191481799,3.09380865436
"1","piepra","2021","3/8/2021",6,4296,42.2191481799,3.09380865436
"1","piepra","2003","1/4/2003",21,4296,42.2191481799,3.09380865436
"1","piepra","2001","30/5/2001",44,4296,42.2191481799,3.09380865436
"1","piepra","2003","19/5/2003",20,4296,42.2191481799,3.09380865436
"1","piepra","2001","8/5/2001",1,4296,42.2191481799,3.09380865436
"1","piepra","1994","22/4/1994",1,4296,42.2191481799,3.09380865436
"1","piepra","2022","6/9/2022",7,4296,42.2191481799,3.09380865436
"1","piepra","2003","23/9/2003",5,4296,42.2191481799,3.09380865436
"1","piepra","2020","15/9/2020",7,4296,42.2191481799,3.09380865436
"1","piepra","1998","12/5/1998",5,4296,42.2191481799,3.09380865436
"1","piepra","2004","1/4/2004",8,4296,42.2191481799,3.09380865436
"1","piepra","2005","17/3/2005",3,4296,42.2191481799,3.09380865436
"1","piepra","1995","14/9/1995",49,4296,42.2191481799,3.09380865436
"1","piepra","2010","10/5/2010",5,4296,42.2191481799,3.09380865436
"1","piepra","2012","13/7/2012",61,4296,42.2191481799,3.09380865436
"1","piepra","2021","1/6/2021",32,4296,42.2191481799,3.09380865436
"1","piepra","1999","22/4/1999",3,4296,42.2191481799,3.09380865436
"1","piepra","2017","10/7/2017",14,4296,42.2191481799,3.09380865436
"1","piepra","2002","24/7/2002",86,4296,42.2191481799,3.09380865436
"1","piepra","2005","23/9/2005",2,4296,42.2191481799,3.09380865436
"1","piepra","1998","3/9/1998",5,4296,42.2191481799,3.09380865436
"1","piepra","2018","26/3/2018",10,4296,42.2191481799,3.09380865436
"1","piepra","2001","3/9/2001",21,4296,42.2191481799,3.09380865436
"1","piepra","2002","22/4/2002",7,4296,42.2191481799,3.09380865436
"1","piepra","2003","22/4/2003",10,4296,42.2191481799,3.09380865436
"1","piepra","2015","23/4/2015",8,4296,42.2191481799,3.09380865436
"1","piepra","2007","31/8/2007",1,4296,42.2191481799,3.09380865436
"1","piepra","2021","29/6/2021",61,4296,42.2191481799,3.09380865436
"1","piepra","2008","6/5/2008",1,4296,42.2191481799,3.09380865436
"1","piepra","1997","7/11/1997",5,4296,42.2191481799,3.09380865436
"1","piepra","1993","9/7/1993",88,4296,42.2191481799,3.09380865436
"1","piepra","1995","7/3/1995",1,4296,42.2191481799,3.09380865436
"1","piepra","2009","17/3/2009",5,4296,42.2191481799,3.09380865436
"1","piepra","2022","1/6/2022",62,4296,42.2191481799,3.09380865436
"1","piepra","1993","22/9/1993",3,4296,42.2191481799,3.09380865436
"1","piepra","1995","22/9/1995",23,4296,42.2191481799,3.09380865436
"1","piepra","2014","12/9/2014",16,4296,42.2191481799,3.09380865436
"1","piepra","2018","25/5/2018",41,4296,42.2191481799,3.09380865436
"1","piepra","1994","26/9/1994",3,4296,42.2191481799,3.09380865436
"1","piepra","2010","17/3/2010",4,4296,42.2191481799,3.09380865436
"1","piepra","2008","4/8/2008",45,4296,42.2191481799,3.09380865436
"1","piepra","2000","26/4/2000",14,4296,42.2191481799,3.09380865436
"1","piepra","1997","16/10/1997",33,4296,42.2191481799,3.09380865436
"1","piepra","2019","27/4/2019",1,4296,42.2191481799,3.09380865436
"1","piepra","2000","5/9/2000",8,4296,42.2191481799,3.09380865436
"1","piepra","2020","10/7/2020",56,4296,42.2191481799,3.09380865436
"1","piepra","2007","2/3/2007",15,4296,42.2191481799,3.09380865436
"1","piepra","2016","19/7/2016",37,4296,42.2191481799,3.09380865436
"1","piepra","2016","22/6/2016",22,4296,42.2191481799,3.09380865436
"1","piepra","1994","28/6/1994",35,4296,42.2191481799,3.09380865436
"1","piepra","2017","18/4/2017",3,4296,42.2191481799,3.09380865436
"1","piepra","2021","16/10/2021",15,4296,42.2191481799,3.09380865436
"1","piepra","2001","21/8/2001",10,4296,42.2191481799,3.09380865436
"1","piepra","1994","31/5/1994",10,4296,42.2191481799,3.09380865436
"1","piepra","1999","24/9/1999",16,4296,42.2191481799,3.09380865436
"1","piepra","1998","16/2/1998",1,4296,42.2191481799,3.09380865436
"1","piepra","2002","28/6/2002",44,4296,42.2191481799,3.09380865436
"1","piepra","1996","31/5/1996",19,4296,42.2191481799,3.09380865436
"1","piepra","2018","19/7/2018",26,4296,42.2191481799,3.09380865436
"1","piepra","2011","7/3/2011",18,4296,42.2191481799,3.09380865436
"1","piepra","2021","24/9/2021",6,4296,42.2191481799,3.09380865436
"1","piepra","1999","16/3/1999",12,4296,42.2191481799,3.09380865436
"1","piepra","2016","28/7/2016",22,4296,42.2191481799,3.09380865436
"1","piepra","2009","20/7/2009",17,4296,42.2191481799,3.09380865436
"1","piepra","2012","7/3/2012",1,4296,42.2191481799,3.09380865436
"1","piepra","2006","26/4/2006",13,4296,42.2191481799,3.09380865436
"1","piepra","2000","23/2/2000",5,4296,42.2191481799,3.09380865436
"1","piepra","2016","2/8/2016",14,4296,42.2191481799,3.09380865436
"1","piepra","2017","17/8/2017",4,4296,42.2191481799,3.09380865436
"1","piepra","2007","18/9/2007",2,4296,42.2191481799,3.09380865436
"1","piepra","2004","16/3/2004",5,4296,42.2191481799,3.09380865436
"1","piepra","1999","16/6/1999",51,4296,42.2191481799,3.09380865436
"1","piepra","1995","21/3/1995",3,4296,42.2191481799,3.09380865436
"1","piepra","1993","1/10/1993",1,4296,42.2191481799,3.09380865436
"1","piepra","1993","11/9/1993",3,4296,42.2191481799,3.09380865436
"1","piepra","2001","25/6/2001",87,4296,42.2191481799,3.09380865436
"1","piepra","1993","10/6/1993",13,4296,42.2191481799,3.09380865436
"1","piepra","2018","14/9/2018",3,4296,42.2191481799,3.09380865436
"1","piepra","2018","17/3/2018",5,4296,42.2191481799,3.09380865436
"1","piepra","2013","3/9/2013",5,4296,42.2191481799,3.09380865436
"1","piepra","1998","7/5/1998",2,4296,42.2191481799,3.09380865436
"1","piepra","1997","25/11/1997",7,4296,42.2191481799,3.09380865436
"1","piepra","2002","18/7/2002",86,4296,42.2191481799,3.09380865436
"1","piepra","2022","8/7/2022",21,4296,42.2191481799,3.09380865436
"1","piepra","2018","1/4/2018",6,4296,42.2191481799,3.09380865436
"1","piepra","1995","10/8/1995",41,4296,42.2191481799,3.09380865436
"1","piepra","1997","10/6/1997",18,4296,42.2191481799,3.09380865436
"1","piepra","1994","18/5/1994",5,4296,42.2191481799,3.09380865436
"1","piepra","2021","9/8/2021",2,4296,42.2191481799,3.09380865436
"1","piepra","2020","23/9/2020",1,4296,42.2191481799,3.09380865436
"1","piepra","2012","14/5/2012",7,4296,42.2191481799,3.09380865436
"1","piepra","2000","25/3/2000",28,4296,42.2191481799,3.09380865436
"1","piepra","2013","17/6/2013",78,4296,42.2191481799,3.09380865436
"1","piepra","2010","26/4/2010",19,4296,42.2191481799,3.09380865436
"1","piepra","1998","18/5/1998",5,4296,42.2191481799,3.09380865436
"1","piepra","2015","5/9/2015",5,4296,42.2191481799,3.09380865436
"1","piepra","2018","28/8/2018",1,4296,42.2191481799,3.09380865436
"1","piepra","2002","10/6/2002",40,4296,42.2191481799,3.09380865436
"1","piepra","2012","6/6/2012",31,4296,42.2191481799,3.09380865436
"1","piepra","1997","13/8/1997",25,4296,42.2191481799,3.09380865436
"1","piepra","2010","31/5/2010",12,4296,42.2191481799,3.09380865436
"1","piepra","1997","14/11/1997",19,4296,42.2191481799,3.09380865436
"1","piepra","2010","12/7/2010",125,4296,42.2191481799,3.09380865436
"1","piepra","2011","28/6/2011",44,4296,42.2191481799,3.09380865436
"1","piepra","2022","9/8/2022",3,4296,42.2191481799,3.09380865436
"1","piepra","2006","18/5/2006",32,4296,42.2191481799,3.09380865436
"1","piepra","1988","2/9/1988",8,4296,42.2191481799,3.09380865436
"1","piepra","1997","24/10/1997",18,4296,42.2191481799,3.09380865436
"1","piepra","2017","20/7/2017",9,4296,42.2191481799,3.09380865436
"1","piepra","2017","16/3/2017",16,4296,42.2191481799,3.09380865436
"1","piepra","2001","13/8/2001",13,4296,42.2191481799,3.09380865436
"1","piepra","1995","22/5/1995",11,4296,42.2191481799,3.09380865436
"1","piepra","2014","21/3/2014",5,4296,42.2191481799,3.09380865436
"1","piepra","1995","7/7/1995",66,4296,42.2191481799,3.09380865436
"1","piepra","2012","21/8/2012",4,4296,42.2191481799,3.09380865436
"1","piepra","2003","13/8/2003",4,4296,42.2191481799,3.09380865436
"1","piepra","2004","17/9/2004",3,4296,42.2191481799,3.09380865436
"1","piepra","2009","29/7/2009",10,4296,42.2191481799,3.09380865436
"1","piepra","2000","8/8/2000",16,4296,42.2191481799,3.09380865436
"1","piepra","2021","9/6/2021",102,4296,42.2191481799,3.09380865436
"1","piepra","2003","5/6/2003",23,4296,42.2191481799,3.09380865436
"1","piepra","2018","8/6/2018",62,4296,42.2191481799,3.09380865436
"1","piepra","1988","13/3/1988",2,4296,42.2191481799,3.09380865436
"1","piepra","2008","25/3/2008",1,4296,42.2191481799,3.09380865436
"1","piepra","1988","15/3/1988",4,4296,42.2191481799,3.09380865436
"1","piepra","1988","24/3/1988",6,4296,42.2191481799,3.09380865436
"1","piepra","2007","13/8/2007",9,4296,42.2191481799,3.09380865436
"1","piepra","1994","15/3/1994",2,4296,42.2191481799,3.09380865436
"1","piepra","2019","16/3/2019",11,4296,42.2191481799,3.09380865436
"1","piepra","2011","29/7/2011",18,4296,42.2191481799,3.09380865436
"1","piepra","1999","24/3/1999",9,4296,42.2191481799,3.09380865436
"1","piepra","2020","15/5/2020",52,4296,42.2191481799,3.09380865436
"1","piepra","2020","20/5/2020",100,4296,42.2191481799,3.09380865436
"1","piepra","2019","4/6/2019",59,4296,42.2191481799,3.09380865436
"1","piepra","2011","16/6/2011",45,4296,42.2191481799,3.09380865436
"1","piepra","2002","15/3/2002",6,4296,42.2191481799,3.09380865436
"1","piepra","2003","11/7/2003",26,4296,42.2191481799,3.09380865436
"1","piepra","2009","21/6/2009",35,4296,42.2191481799,3.09380865436
"1","piepra","2016","12/7/2016",37,4296,42.2191481799,3.09380865436
"1","piepra","2013","29/7/2013",73,4296,42.2191481799,3.09380865436
"1","piepra","2013","25/3/2013",2,4296,42.2191481799,3.09380865436
"1","piepra","1999","3/6/1999",62,4296,42.2191481799,3.09380865436
"1","piepra","1998","30/10/1998",7,4296,42.2191481799,3.09380865436
"1","piepra","2016","16/8/2016",2,4296,42.2191481799,3.09380865436
"1","piepra","2012","23/5/2012",14,4296,42.2191481799,3.09380865436
"1","piepra","2020","14/4/2020",6,4296,42.2191481799,3.09380865436
"1","piepra","2005","11/7/2005",62,4296,42.2191481799,3.09380865436
"1","piepra","2014","18/5/2014",25,4296,42.2191481799,3.09380865436
"1","piepra","1993","21/4/1993",1,4296,42.2191481799,3.09380865436
"1","piepra","2003","24/3/2003",12,4296,42.2191481799,3.09380865436
"1","piepra","1993","30/3/1993",2,4296,42.2191481799,3.09380865436
"1","piepra","2018","14/3/2018",9,4296,42.2191481799,3.09380865436
"1","piepra","1999","30/3/1999",8,4296,42.2191481799,3.09380865436
"1","piepra","1998","16/4/1998",2,4296,42.2191481799,3.09380865436
"1","piepra","2012","13/8/2012",8,4296,42.2191481799,3.09380865436
